id,name,source_url,artist,license,license_url
h-tel-lambert,Hôtel Lambert (Paris),https://upload.wikimedia.org/wikipedia/commons/e/e9/H%C3%B4tel_Lambert.jpg,,,
ch-teau-louvre,Louvre Ostfassade,https://upload.wikimedia.org/wikipedia/commons/c/c3/West_facade_of_the_Cour_Carr%C3%A9e%2C_Louvre_Palace%2C_Paris_5_October_2017.jpg,,,
val-de-grace,Val-de-Grâce (Paris),https://upload.wikimedia.org/wikipedia/commons/a/ae/P1010452_Paris_V_Val_de_Gr%C3%A2ce_reductwk.JPG,,,
observatorium-paris,Observatorium (Paris),https://upload.wikimedia.org/wikipedia/commons/7/74/Observatoire_Paris_20030404.jpg,,,
porte-saint-denis,Porte Saint-Denis (Paris),https://upload.wikimedia.org/wikipedia/commons/8/8c/Porte_Saint_Denis_-_Paris_X_%28FR75%29_-_2023-06-14_-_2.jpg,,,
invalidendom,Invalidendom (Paris),https://upload.wikimedia.org/wikipedia/commons/4/4e/Cath%C3%A9drale_Saint-Louis-des-Invalides%2C_140309_2.jpg,,,
ch-teau-versailles,Schloss Versailles,https://upload.wikimedia.org/wikipedia/commons/5/54/Vue_a%C3%A9rienne_du_domaine_de_Versailles_par_ToucanWings_-_Creative_Commons_By_Sa_3.0_-_073.jpg,,,
schloss-schoenbrunn,Schloss Schönbrunn (Wien),https://upload.wikimedia.org/wikipedia/commons/c/c9/Wien_-_Schloss_Sch%C3%B6nbrunn.JPG,,,
berliner-stadtschloss,Berliner Stadtschloss,https://upload.wikimedia.org/wikipedia/commons/4/4b/Berlin-Mitte_Stadtschloss_asv2023-10_%28cropped%29.jpg,,,
schloss-charlottenburg,Schloss Charlottenburg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Berlin_Charlottenburger_Schloss_Strassenseite.jpg,,,
unteres-und-oberes-belvedere,Unteres & Oberes Belvedere (Wien),https://upload.wikimedia.org/wikipedia/commons/f/f8/Wien_-_Schloss_Belvedere%2C_oberes_%281%29.JPG,,,
zwinger-dresden,Zwinger (Dresden),https://upload.wikimedia.org/wikipedia/commons/0/0f/Dresden_Germany_Zwinger-01.jpg,,,
schloss-weissenstei-n,Schloss Weißenstein (Pommersfelden),https://upload.wikimedia.org/wikipedia/commons/3/37/Pommersfelden_Schloss_Weissenstein-20210801-RM-170531.jpg,,,
schloss-augustusburg-bruehl,Schloss Augustusburg (Brühl) – Treppenhaus,https://upload.wikimedia.org/wikipedia/commons/3/3b/Br%C3%BChl_Germany_Schloss-Augustusburg-01.jpg,,,
neues-palais,Neues Palais (Potsdam),https://upload.wikimedia.org/wikipedia/commons/e/ef/Potsdam_Sanssouci_07-2017_img4.jpg,,,
schloss-und-park-san-ssouci,Schloss und Park Sanssouci (Potsdam),https://upload.wikimedia.org/wikipedia/commons/9/97/Reflection_of_Sanssouci_Palace.jpg,,,
asamkirche-st-johann-nepomuk-muenchen,Asamkirche St. Johann Nepomuk (München),https://upload.wikimedia.org/wikipedia/commons/4/4e/St._Nepomuk_retusche.jpg,,,
dorfkirche-steinhausen,Dorfkirche Steinhausen,https://upload.wikimedia.org/wikipedia/commons/f/f7/Wallfahrtskirche_Steinhausen_Gesamtansicht.jpg,,,
klosterkirche-zwiefalten,Klosterkirche Zwiefalten,https://upload.wikimedia.org/wikipedia/commons/5/53/DEU_Zwiefalten_COA.svg,,,
the-queen-s-house-greenwich,The Queen’s House (Greenwich),https://upload.wikimedia.org/wikipedia/commons/a/ac/312SFEC_LONDON-20070917.JPG,,,
university-of-virginia,University of Virginia,https://upload.wikimedia.org/wikipedia/de/8/80/University_of_Virginia_Logo.svg,,,
arc-et-senans-salinenstadt,Salinenstadt Arc-et-Senans,https://upload.wikimedia.org/wikipedia/commons/7/78/Claude_Nicolas_Ledoux_by_Martin_Drolling.JPG,,,
barrieres-de-paris,Barrières de Paris,https://upload.wikimedia.org/wikipedia/commons/f/fb/Paris_Catacombs_Entrance.jpg,,,
kenotaph-fuer-isaac-newton,Kenotaph für Isaac Newton,https://upload.wikimedia.org/wikipedia/commons/e/ec/Interior4.jpg,,,
maison-d-education,Maison d’Education,https://upload.wikimedia.org/wikipedia/commons/e/e7/Gymnasium_Max-Josef-Stift_Pano.jpg,,,
denkmal-friedrich-des-grossen,Denkmal Friedrich des Großen (Entwurf),https://upload.wikimedia.org/wikipedia/commons/9/90/Friedrich_Zweite_Alt.jpg,,,
alte-nationalgalerie,Alte Nationalgalerie (Berlin),https://upload.wikimedia.org/wikipedia/commons/2/23/AlteNationalgalerie_1a.jpg,,,
